date,port_ret,port_ret_net,nav,value
20251105,0.003243526182557299,0.002743526182557299,1.1172398551199534,11172398.551199533
20251106,-0.002725854422790619,-0.003225854422790619,1.1136358019919967,11136358.019919967
20251107,0.0012011802348583234,0.0007011802348583234,1.1144166614051843,11144166.614051843
20251110,0.0010204755905540818,0.0005204755905540818,1.1149966880751525,11149966.880751526
20251111,-0.000055256006637915966,-0.000555256006637916,1.1143775794667174,11143775.794667175
20251112,-0.0005955778024120506,-0.0010955778024120506,1.113156692127148,11131566.92127148
20251113,-0.00232507373122095,-0.00282507373122095,1.1100119423974868,11100119.423974868
20251114,0.002700666834290788,0.002200666834290788,1.1124547088647878,11124547.088647878
20251117,0.0030899004613719637,0.0025899004613719637,1.115335855828532,11153358.55828532
20251118,0.0007547890793753065,0.0002547890793753065,1.1156200312244329,11156200.31224433
20251119,0.002134492316873726,0.001634492316873726,1.1174435035940196,11174435.035940196
20251120,-0.006262887812688666,-0.006762887812688667,1.1098863585421954,11098863.585421953
20251121,0.0064052052596640045,0.005905205259664004,1.116440465304288,11164404.65304288
20251124,0.0029433811140438413,0.0024433811140438413,1.119168354852167,11191683.54852167
20251125,0.002026814700487001,0.001526814700487001,1.1208771175486751,11208771.17548675
20251126,-0.0009501358881791489,-0.001450135888179149,1.119251693414279,11192516.93414279
20251127,-0.0008623204138718754,-0.0013623204138718753,1.1177269139840802,11177269.139840802
20251128,0.002580423314226621,0.002080423314226621,1.1200522591148712,11200522.591148712
20251201,-0.0017688829233703518,-0.002268882923370352,1.117510991670883,11175109.916708829
20251202,-0.0008261150518831583,-0.0013261150518831585,1.1160290435241833,11160290.435241833
20251203,-0.0029542955916202263,-0.0034542955916202264,1.1121739493190175,11121739.493190175
20251204,0.0007497413384688234,0.00024974133846882344,1.1124517051297305,11124517.051297305
20251205,0.0018795243850177723,0.0013795243850177722,1.1139863593841117,11139863.593841117
20251208,0.000596392920055866,0.00009639292005586596,1.1140937397821953,11140937.397821954
20251209,-0.002372263470214975,-0.002872263470214975,1.1108937690310237,11108937.690310236
20251210,0.0004166567251551845,-0.00008334327484481552,1.1108011835063079,11108011.83506308
20251211,0.010479074634476481,0.009979074634476481,1.1218859514205821,11218859.51420582
20251212,-0.0031832194371419487,-0.0036832194371419487,1.1177537992780533,11177537.992780533
20251215,-0.000835513901607321,-0.001335513901607321,1.116261023540543,11162610.23540543
